,Date,Temperature_C_london,Temperature_C_rome,Temperature_C_milan,Temperature_C_sabine,Temperature_C_singapore,Temperature_C_delhi,Temperature_C_paris,Temperature_C_amsterdam,Temperature_C_berlin,Temperature_C_beijing,Temperature_C_houston,Temperature_C_shanghai,Temperature_C_madrid,Temperature_C_seoul,Temperature_C_tokyo,Temperature_C_warsaw,Temperature_C_barcelona,Temperature_C_marseille
60,2009-03-02,9.012772,12.961689,10.818436,5.128845,26.93396,28.04913,9.615341,6.7781405,9.337474,2.2391155,1.6193746,4.288944,10.602615,4.9809265,3.667511,5.0302377,12.802612,12.10305
61,2009-03-03,9.431683,13.031837,10.810448,6.1266327,26.353226,29.875206,10.25618,6.205658,7.317118,3.728892,5.8450065,5.0705194,8.293655,3.4670308,1.6542587,3.730896,11.493843,11.465004
62,2009-03-04,6.013386,14.038189,7.494301,12.823578,26.598793,29.725002,5.542216,5.570319,7.863373,5.1564126,11.905681,7.4139404,8.358612,2.719457,7.4477386,6.3650413,11.007774,10.190445
63,2009-03-05,5.5659027,10.867264,6.9636993,16.272308,27.104332,27.259674,3.1483357,6.4041104,10.712138,4.8487244,15.900807,8.0127325,8.784256,4.352656,8.545761,6.6449485,9.955795,8.708275
64,2009-03-06,7.913334,10.984081,8.019577,17.85073,28.383545,28.50862,7.2398276,6.210205,4.678238,6.0918374,17.857208,7.479516,12.196625,-0.58897907,10.943214,5.0558014,12.362061,9.028343
65,2009-03-07,10.909985,14.388905,13.951843,19.11734,26.719513,27.575497,10.103307,7.676836,3.995819,7.791494,18.93898,6.7576733,16.05838,1.8950094,10.474289,2.7343647,11.939224,11.029427
66,2009-03-08,8.979618,14.95166,13.596077,19.29673,27.127037,26.394066,9.487544,8.206818,6.555776,11.231517,19.752676,8.994496,15.633026,4.4415793,8.200523,2.8953907,13.452812,13.82431
67,2009-03-09,8.791378,14.634392,13.722725,19.311333,25.439919,27.767508,9.3446045,6.5318165,6.2840524,4.1334534,20.856543,11.641911,15.23336,5.0911307,10.329651,3.7552083,13.070389,11.993561
68,2009-03-10,10.711147,13.719059,12.19899,20.370316,27.412666,27.306118,9.542445,5.9614325,7.278778,4.5816345,21.25412,9.412306,15.9687805,3.3399506,8.643059,5.585073,13.561684,11.998436
69,2009-03-11,9.948151,13.72398,15.295021,19.80275,26.353523,26.838799,10.606715,7.9760165,5.412506,7.7844443,20.172709,9.528202,18.274178,3.4172924,5.226494,5.0113626,13.1534195,13.546135
70,2009-03-12,11.151566,13.225395,13.354874,12.399124,27.858894,28.145302,11.602534,8.500142,5.8377533,5.411509,12.04715,13.212189,18.357956,8.953649,6.8050385,1.1444601,13.400391,13.084137
71,2009-03-13,9.810787,13.567329,16.12651,10.582214,25.583344,29.72069,11.466705,9.374583,7.97582,1.9937948,7.308355,7.4770136,18.093643,-0.7691091,11.952881,2.6587067,15.487305,16.065842
72,2009-03-14,11.210655,14.322845,14.186188,8.879761,25.906593,30.23543,12.022191,9.0156145,11.298945,7.8492126,5.9548545,6.9559836,20.6447,1.3120829,6.2619553,6.590327,16.08667,14.425262
73,2009-03-15,12.128803,14.312347,14.936028,10.166092,25.608887,29.69416,12.963181,9.552209,8.194229,13.23231,8.657832,12.133663,19.982063,8.280594,8.647507,9.094157,16.08554,15.569351
74,2009-03-16,13.416866,15.7509,15.781914,13.062637,26.283089,29.5382,12.941666,9.681848,7.1814475,13.479878,9.359772,15.715946,20.2706,6.8256836,11.128586,5.4064736,16.002792,15.823761
75,2009-03-17,12.557854,14.89286,16.001701,14.169167,27.466454,31.213156,14.258046,9.925812,10.205383,16.796213,11.440547,17.634525,16.268127,13.944417,12.447449,1.8807169,15.547592,15.633102
76,2009-03-18,12.594242,15.057144,18.168724,14.250626,28.512566,31.53176,14.350627,7.67177,8.018718,18.839548,10.33429,17.826412,16.259712,15.6111555,14.724579,4.251902,15.378983,14.900375
